state,isMetro,parent_count,child_count,needs_childcare,total_cost,median_family_income
1,False,1,1,1,48298.3764,59327.95703125
1,False,1,2,1,62595.2868,59327.95703125
1,False,1,3,1,75235.5588,59327.95703125
1,False,1,4,1,81833.1096,59327.95703125
1,False,2,0,0,47805.2784,59327.95703125
1,False,2,1,1,61435.2948,59327.95703125
1,False,2,2,1,74953.4124,59327.95703125
1,False,2,3,1,87012.726,59327.95703125
1,False,2,4,1,93071.8944,59327.95703125
1,False,1,0,0,34619.3616,58005.40234375
1,False,1,1,1,48092.7156,58005.40234375
1,False,1,2,1,62528.7192,58005.40234375
1,False,1,3,1,76885.494,58005.40234375
1,False,1,4,1,82728.4164,58005.40234375
1,False,2,0,0,48152.9412,58005.40234375
1,False,2,1,1,61324.4712,58005.40234375
1,False,2,2,1,75004.1892,58005.40234375
1,False,2,3,1,87886.6812,58005.40234375
1,False,2,4,1,94766.9592,58005.40234375
1,False,1,0,0,35095.104,58943.921875
1,False,1,1,1,47312.7888,58943.921875
1,False,1,2,1,61820.4084,58943.921875
1,False,1,3,1,77299.0428,58943.921875
1,False,1,4,1,83038.8168,58943.921875
1,False,2,0,0,47752.6848,58943.921875
1,False,2,1,1,60608.3784,58943.921875
1,False,2,2,1,75134.9592,58943.921875
1,False,2,3,1,88441.9104,58943.921875
1,False,2,4,1,94392.4332,58943.921875
1,False,1,0,0,33879.102,46549.10546875
1,False,1,1,1,46491.384,46549.10546875
1,False,1,2,1,60529.758,46549.10546875
1,False,1,3,1,72830.0508,46549.10546875
1,False,1,4,1,78285.0588,46549.10546875
1,False,2,0,0,46498.0956,46549.10546875
1,False,2,1,1,59788.3128,46549.10546875
1,False,2,2,1,73047.258,46549.10546875
1,False,2,3,1,84120.9732,46549.10546875
1,False,2,4,1,89897.9292,46549.10546875
1,False,1,0,0,33233.8128,50571.18359375
1,False,1,1,1,47498.6688,50571.18359375
1,False,1,2,1,61801.3248,50571.18359375
1,False,1,3,1,75701.3436,50571.18359375
1,False,1,4,1,81429.3168,50571.18359375
1,False,2,0,0,47262.2904,50571.18359375
1,False,2,1,1,60692.8476,50571.18359375
1,False,2,2,1,74238.1464,50571.18359375
1,False,2,3,1,86740.7172,50571.18359375
1,False,2,4,1,93517.1544,50571.18359375
1,True,1,0,0,38221.3944,74491.09375
1,True,1,1,1,55194.006,74491.09375
1,True,1,2,1,73339.9452,74491.09375
1,True,1,3,1,90566.772,74491.09375
1,True,1,4,1,97154.8248,74491.09375
1,True,2,0,0,53795.6544,74491.09375
1,True,2,1,1,68797.8984,74491.09375
1,True,2,2,1,86493.4512,74491.09375
1,True,2,3,1,101156.8596,74491.09375
1,True,2,4,1,108082.8276,74491.09375
1,False,1,0,0,33931.9896,50277.51171875
1,False,1,1,1,46734.852,50277.51171875
1,False,1,2,1,60823.7748,50277.51171875
1,False,1,3,1,73455.6684,50277.51171875
1,False,1,4,1,78832.6284,50277.51171875
1,False,2,0,0,47372.0448,50277.51171875
1,False,2,1,1,59719.6992,50277.51171875
1,False,2,2,1,73051.3296,50277.51171875
1,False,2,3,1,84440.8416,50277.51171875
1,False,2,4,1,90095.9412,50277.51171875
1,True,1,0,0,35018.9532,58943.921875
1,True,1,1,1,48217.23,58943.921875
1,True,1,2,1,63709.0308,58943.921875
1,True,1,3,1,78062.502,58943.921875
1,True,1,4,1,83837.2152,58943.921875
1,True,2,0,0,47400.618,58943.921875
1,True,2,1,1,61243.5756,58943.921875
1,True,2,2,1,76797.9552,58943.921875
1,True,2,3,1,88956.0816,58943.921875
1,True,2,4,1,94884.1584,58943.921875
1,False,1,0,0,34996.1016,52757.296875
1,False,1,1,1,48027.7116,52757.296875
1,False,1,2,1,62319.1932,52757.296875
1,False,1,3,1,75210.8676,52757.296875
1,False,1,4,1,80982.8904,52757.296875
1,False,2,0,0,49092.9312,52757.296875
1,False,2,1,1,61206.5628,52757.296875
1,False,2,2,1,74732.8884,52757.296875
1,False,2,3,1,86244.4272,52757.296875
1,False,2,4,1,92270.3736,52757.296875
1,False,1,0,0,33889.242,52598.13671875
1,False,1,1,1,46565.022,52598.13671875
1,False,1,2,1,60560.244,52598.13671875
1,False,1,3,1,72747.6216,52598.13671875
1,False,1,4,1,77975.1324,52598.13671875
1,False,2,0,0,47234.1264,52598.13671875
1,False,2,1,1,59458.6464,52598.13671875
1,False,2,2,1,72705.2112,52598.13671875
1,False,2,3,1,83708.7072,52598.13671875
1,False,2,4,1,89991.012,52598.13671875
1,True,1,0,0,33680.2116,52019.0078125
1,True,1,1,1,46024.9512,52019.0078125
1,True,1,2,1,60927.5448,52019.0078125
1,True,1,3,1,74078.7012,52019.0078125
1,True,1,4,1,80306.262,52019.0078125
1,True,2,0,0,45831.6504,52019.0078125
1,True,2,1,1,58822.5648,52019.0078125
1,True,2,2,1,72906.732,52019.0078125
1,True,2,3,1,85579.2888,52019.0078125
1,True,2,4,1,91274.9712,52019.0078125
1,False,1,0,0,34692.1668,38505.9765625
1,False,1,1,1,47648.736,38505.9765625
1,False,1,2,1,61847.1264,38505.9765625
1,False,1,3,1,75455.5548,38505.9765625
1,False,1,4,1,81133.8336,38505.9765625
1,False,2,0,0,48510.3864,38505.9765625
1,False,2,1,1,60491.4252,38505.9765625
1,False,2,2,1,73886.0856,38505.9765625
1,False,2,3,1,86070.99,38505.9765625
1,False,2,4,1,92812.7988,38505.9765625
1,True,1,0,0,34857.8556,55991.796875
1,True,1,1,1,46539.1908,55991.796875
1,True,1,2,1,61423.0776,55991.796875
1,True,1,3,1,74948.256,55991.796875
1,True,1,4,1,80743.014,55991.796875
1,True,2,0,0,47158.5504,55991.796875
1,True,2,1,1,59382.726,55991.796875
1,True,2,2,1,74236.734,55991.796875
1,True,2,3,1,85631.268,55991.796875
1,True,2,4,1,91686.5748,55991.796875
1,True,1,0,0,35500.1688,62311.91015625
1,True,1,1,1,48626.5956,62311.91015625
1,True,1,2,1,64331.7192,62311.91015625
1,True,1,3,1,79962.7032,62311.91015625
1,True,1,4,1,86131.5408,62311.91015625
1,True,2,0,0,48835.6668,62311.91015625
1,True,2,1,1,61724.2032,62311.91015625
1,True,2,2,1,77488.1604,62311.91015625
1,True,2,3,1,90681.9372,62311.91015625
1,True,2,4,1,97034.772,62311.91015625
1,True,1,0,0,35185.9692,62393.03125
1,True,1,1,1,48786.9876,62393.03125
1,True,1,2,1,64698.6624,62393.03125
1,True,1,3,1,79538.772,62393.03125
1,True,1,4,1,86293.4292,62393.03125
1,True,2,0,0,47911.3452,62393.03125
1,True,2,1,1,62144.4612,62393.03125
1,True,2,2,1,77313.7848,62393.03125
1,True,2,3,1,91260.2808,62393.03125
1,True,2,4,1,97544.9652,62393.03125
1,False,1,0,0,34085.4468,54206.1484375
1,False,1,1,1,48986.6364,54206.1484375
1,False,1,2,1,63590.8476,54206.1484375
1,False,1,3,1,76676.742,54206.1484375
1,False,1,4,1,82514.5488,54206.1484375
1,False,2,0,0,49004.9916,54206.1484375
1,False,2,1,1,62223.6564,54206.1484375
1,False,2,2,1,76075.488,54206.1484375
1,False,2,3,1,87700.5648,54206.1484375
1,False,2,4,1,94585.1364,54206.1484375
1,True,1,0,0,39877.9392,72559.6328125
1,True,1,1,1,55115.3208,72559.6328125
1,True,1,2,1,74009.8416,72559.6328125
