state,isMetro,parent_count,child_count,needs_childcare,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes
4,False,1,1,1,12732.0,5321.064,13700.1552,9523.74168,6575.55984,7155.87456,6201.40644
4,False,1,2,1,12732.0,7796.24784,14565.858,12702.2016,7405.40988,11711.95824,6621.156
4,False,1,3,1,16824.0,10400.53788,15238.2156,15880.662,10019.41116,13113.8304,11026.01592
4,False,1,4,1,16824.0,12730.962,15744.9468,19059.126,10960.87356,13113.8304,11692.8516
4,False,2,0,0,9924.0,6619.33008,14874.0468,12690.5592,6001.19352,0.0,7298.3826
4,False,2,1,1,12732.0,8238.42264,15749.0568,15869.022,7553.65728,7155.87456,8372.14092
4,False,2,2,1,12732.0,10433.78388,16464.8964,19047.4836,8289.69216,11711.95824,8299.10964
4,False,2,3,1,16824.0,12738.858,16975.3128,22225.9428,10964.064,13113.8304,11053.75776
4,False,2,4,1,16824.0,15589.3092,17308.626,25404.4044,12115.6116,13113.8304,11450.02368
4,True,1,0,0,13992.0,3589.79328,11472.2058,5480.37996,6422.30052,0.0,7876.48824
4,True,1,1,1,19404.0,5290.48284,12190.2564,8221.12212,8870.22072,9609.25488,9529.60908
4,True,1,2,1,19404.0,7751.44188,13311.5244,10961.86524,9978.49512,14723.8848,11565.34356
4,True,1,3,1,27768.0,10340.76564,14310.0732,13702.6068,13930.2,16297.6152,19110.0708
4,True,1,4,1,27768.0,12657.7956,14762.484,16443.3504,15014.8224,16297.6152,20027.2032
4,True,2,0,0,15156.0,6581.28876,13701.7044,10960.76004,8126.76048,0.0,8834.37888
4,True,2,1,1,19404.0,8191.07592,14835.4764,13701.5028,10184.29032,9609.25488,11390.406
4,True,2,2,1,19404.0,10373.8206,15833.2044,16442.244,11206.05252,14723.8848,12348.8904
4,True,2,3,1,27768.0,12665.6472,16255.5144,19182.9876,15018.498,16297.6152,17726.3976
4,True,2,4,1,27768.0,15499.7172,16526.9412,21923.73,16345.1532,16297.6152,17861.7024
5,False,1,0,0,7992.0,3496.41756,12108.216,4353.2802,4130.41224,0.0,5935.96476
5,False,1,1,1,10344.0,5152.86912,12818.6544,6541.97604,5653.34688,7685.08524,6246.32004
5,False,1,2,1,10344.0,7549.815,14032.5756,8730.67092,6472.88892,12374.4384,6582.16404
5,False,1,3,1,13812.0,10071.78516,14593.6044,10919.36796,8581.35276,13817.316,8606.87472
5,False,1,4,1,13812.0,12328.5468,14939.7204,13108.0632,9410.967,13817.316,8355.51564
5,False,2,0,0,8196.0,6410.09844,14193.396,8706.56028,5242.08432,0.0,6404.88648
5,False,2,1,1,10344.0,7978.01292,15356.1648,10895.25588,6619.2942,7685.08524,7933.48464
5,False,2,2,1,10344.0,10103.98164,15771.8736,13083.9516,7346.18628,12374.4384,7894.40628
5,False,2,3,1,13812.0,12336.1932,16212.018,15272.6484,9413.91216,13817.316,8843.67996
5,False,2,4,1,13812.0,15096.5436,16264.212,17461.3416,10429.50948,13817.316,8312.53932
5,True,1,0,0,12048.0,3620.91876,10492.60764,3956.37996,5677.467,0.0,7281.9024
5,True,1,1,1,16212.0,5336.3544,11552.40816,5939.89236,7835.71872,12038.9808,9984.54276
5,True,1,2,1,16212.0,7818.65112,12852.198,7923.40428,8750.61552,19419.7812,12397.6644
5,True,1,3,1,22498.3476,10430.42508,14061.7236,9906.91704,11953.05108,21690.7968,17547.492
5,True,1,4,1,22498.3476,12767.5464,14681.5632,11890.42968,12804.7356,21690.7968,17976.234
5,True,2,0,0,13159.6404,6638.35176,13056.33,7912.76004,7214.94576,0.0,8297.69892
5,True,2,1,1,16212.0,8262.09672,14335.7796,9896.27196,8914.0554,12038.9808,11296.53144
5,True,2,2,1,16212.0,10463.7678,15567.7512,11879.78472,9725.52324,19419.7812,12340.914
5,True,2,3,1,22498.3476,12775.4628,16161.2712,13863.2976,12807.6216,21690.7968,16259.712
